uid,trace
2070,-5.299845 34.25749 0.0;-5.299804 34.25748 0.0;-5.299795 34.25748 0.0;-5.299631 34.25764 0.0;-5.299631 34.25766 0.0;-5.299536 34.25766 0.0;-5.299506 34.25765 0.0;-5.299502 34.25765 0.0;-5.299423 34.25753 0.0;-5.299423 34.25753 0.0;-5.299714 34.25731 0.0;-5.299714 34.25731 0.0;-5.300012 34.25716 0.0;-5.300012 34.25716 0.0;-5.30006 34.25713 0.0;-5.300098 34.25712 0.0;-5.300098 34.25712 0.0;-5.300049 34.25725 0.0;-5.299901 34.25735 0.0;-5.299911 34.25739 0.0;-5.299845 34.25749 0.0;-5.299845 34.25749 0.0;
2071,-5.518216 34.02621 0.0;-5.517228 34.03164 0.0;-5.517172 34.03167 0.0;-5.516993 34.03172 0.0;-5.516811 34.03166 0.0;-5.516705 34.03148 0.0;-5.516909 34.03143 0.0;-5.518216 34.02621 0.0;-5.518216 34.02621 0.0;
2072,-5.259266 34.22295 0.0;-5.25915 34.2227 0.0;-5.259068 34.22274 0.0;-5.258957 34.22264 0.0;-5.25858 34.22295 0.0;-5.258604 34.22306 0.0;-5.259266 34.22295 0.0;-5.259266 34.22295 0.0;
2073,-5.302867 34.2052 0.0;-5.302987 34.20552 0.0;-5.30302 34.2055 0.0;-5.302968 34.20526 0.0;-5.302923 34.20524 0.0;-5.302867 34.2052 0.0;-5.302867 34.2052 0.0;
2074,-5.194175 34.27346 0.0;-5.194713 34.27274 0.0;-5.195287 34.27254 0.0;-5.195728 34.27304 0.0;-5.195687 34.27333 0.0;-5.195632 34.27335 0.0;-5.194175 34.27346 0.0;-5.194175 34.27346 0.0;
2075,-5.396379 34.16452 0.0;-5.396368 34.1645 0.0;-5.396277 34.16453 0.0;-5.396253 34.16453 0.0;-5.396166 34.16469 0.0;-5.396186 34.16479 0.0;-5.396299 34.16481 0.0;-5.396406 34.16475 0.0;-5.396295 34.1646 0.0;-5.39638 34.16453 0.0;-5.396384 34.16453 0.0;-5.396379 34.16452 0.0;-5.396379 34.16452 0.0;
2076,-5.448097 34.04652 0.0;-5.447895 34.04642 0.0;-5.448148 34.04593 0.0;-5.448266 34.04596 0.0;-5.44814 34.0465 0.0;-5.448097 34.04652 0.0;-5.448097 34.04652 0.0;
2077,-4.651755 34.88271 0.0;-4.651776 34.88255 0.0;-4.652315 34.88277 0.0;-4.651999 34.88341 0.0;-4.651484 34.88318 0.0;-4.651755 34.88271 0.0;
2078,-4.781005 35.00113 0.0;-4.78102 35.00097 0.0;-4.781312 35.00102 0.0;-4.781295 35.00116 0.0;-4.781029 35.00112 0.0;-4.781789 35.00124 0.0;-4.781805 35.00107 0.0;-4.782193 35.00103 0.0;-4.782198 35.00116 0.0;-4.781816 35.00122 0.0;-4.781005 35.00113 0.0;
2079,-4.756206 35.05919 0.0;-4.756094 35.05931 0.0;-4.755924 35.0591 0.0;-4.755927 35.05909 0.0;-4.755934 35.05908 0.0;-4.755688 35.05875 0.0;-4.755779 35.05868 0.0;-4.755834 35.05862 0.0;-4.755963 35.05855 0.0;-4.756291 35.05895 0.0;-4.756318 35.05913 0.0;-4.756206 35.05919 0.0;-4.756206 35.05919 0.0;
2080,-4.855044 34.9673 0.0;-4.854271 34.96723 0.0;-4.854039 34.96821 0.0;-4.854075 34.96822 0.0;-4.854239 34.96796 0.0;-4.855072 34.96788 0.0;-4.85503 34.96734 0.0;-4.855044 34.9673 0.0;-4.855044 34.9673 0.0;
2081,-4.611946 34.68553 0.0;-4.612588 34.68524 0.0;-4.612246 34.68575 0.0;-4.611946 34.68553 0.0;-4.611946 34.68553 0.0;
2082,-4.657145 34.6727 0.0;-4.657054 34.67276 0.0;-4.657567 34.67334 0.0;-4.657636 34.67326 0.0;-4.657461 34.67302 0.0;-4.657318 34.67285 0.0;-4.657138 34.67271 0.0;-4.657145 34.6727 0.0;-4.657145 34.6727 0.0;
2083,-4.627209 34.84064 0.0;-4.627152 34.84053 0.0;-4.627402 34.84031 0.0;-4.627545 34.84051 0.0;-4.627209 34.84064 0.0;-4.627209 34.84064 0.0;-4.627209 34.84064 0.0;
2084,-4.704889 34.76035 0.0;-4.70504 34.76032 0.0;-4.7053 34.76041 0.0;-4.705425 34.76043 0.0;-4.705438 34.76055 0.0;-4.70519 34.76057 0.0;-4.704947 34.76037 0.0;-4.704889 34.76035 0.0;-4.704889 34.76035 0.0;
2085,-4.802917 34.89404 0.0;-4.802837 34.89471 0.0;-4.802466 34.895 0.0;-4.802357 34.89489 0.0;-4.802537 34.89434 0.0;-4.802917 34.89404 0.0;-4.802917 34.89404 0.0;
2086,-4.723177 34.87665 0.0;-4.72263 34.87637 0.0;-4.722699 34.8764 0.0;-4.722616 34.87653 0.0;-4.72233 34.8767 0.0;-4.72201 34.87693 0.0;-4.721612 34.87715 0.0;-4.721378 34.87727 0.0;-4.721305 34.87713 0.0;-4.72093 34.87724 0.0;-4.720453 34.8774 0.0;-4.720322 34.87714 0.0;-4.720233 34.87683 0.0;-4.721058 34.8765 0.0;-4.721356 34.87698 0.0;-4.722043 34.87674 0.0;-4.722836 34.87623 0.0;-4.723177 34.87665 0.0;-4.723177 34.87665 0.0;
2087,-4.803313 34.84192 0.0;-4.803309 34.84192 0.0;-4.803306 34.84192 0.0;-4.803285 34.84191 0.0;-4.803285 34.84191 0.0;-4.80327 34.84191 0.0;-4.803017 34.84198 0.0;-4.803002 34.84201 0.0;-4.802891 34.84198 0.0;-4.802873 34.84187 0.0;-4.802887 34.84185 0.0;-4.803184 34.84172 0.0;-4.80327 34.84188 0.0;-4.803313 34.84192 0.0;-4.803313 34.84192 0.0;
2088,-4.828586 34.8492 0.0;-4.828572 34.84914 0.0;-4.828849 34.84893 0.0;-4.828517 34.8484 0.0;-4.828377 34.8482 0.0;-4.828287 34.8482 0.0;-4.828324 34.84827 0.0;-4.828381 34.84826 0.0;-4.828586 34.8492 0.0;-4.828586 34.8492 0.0;
2089,-4.73415 34.85786 0.0;-4.733967 34.85769 0.0;-4.734558 34.85709 0.0;-4.73469 34.85721 0.0;-4.73415 34.85786 0.0;-4.73415 34.85786 0.0;
2090,-4.559795 34.55355 0.0;-4.560415 34.55309 0.0;-4.560893 34.5529 0.0;-4.561124 34.55354 0.0;-4.560281 34.55394 0.0;-4.560016 34.55385 0.0;-4.559795 34.55355 0.0;-4.559795 34.55355 0.0;
2091,-4.506753 34.64142 0.0;-4.506779 34.64145 0.0;-4.506956 34.64171 0.0;-4.507069 34.64208 0.0;-4.507034 34.64213 0.0;-4.506284 34.6424 0.0;-4.506093 34.64214 0.0;-4.506762 34.6414 0.0;-4.506753 34.64142 0.0;
2092,-4.419039 34.83624 0.0;-4.418855 34.8366 0.0;-4.418239 34.83623 0.0;-4.418372 34.83591 0.0;-4.419039 34.83624 0.0;
2093,-4.371481 34.71896 0.0;-4.371285 34.71864 0.0;-4.371038 34.71862 0.0;-4.371002 34.71863 0.0;-4.370976 34.71862 0.0;-4.371022 34.71902 0.0;-4.371497 34.71896 0.0;-4.371481 34.71896 0.0;
2094,-4.454864 34.69403 0.0;-4.454323 34.69358 0.0;-4.453854 34.69409 0.0;-4.454199 34.69465 0.0;-4.454458 34.69451 0.0;-4.454747 34.69426 0.0;-4.454864 34.69403 0.0;-4.454864 34.69403 0.0;
2095,-4.501881 34.93494 0.0;-4.502372 34.935 0.0;-4.502981 34.93532 0.0;-4.503056 34.93538 0.0;-4.503081 34.93541 0.0;-4.503045 34.93567 0.0;-4.502955 34.93561 0.0;-4.502684 34.93547 0.0;-4.502503 34.9354 0.0;-4.501976 34.93506 0.0;-4.501881 34.93494 0.0;
2096,-4.545014 34.7964 0.0;-4.54503 34.79638 0.0;-4.545021 34.79624 0.0;-4.544892 34.79606 0.0;-4.544456 34.79609 0.0;-4.544385 34.79636 0.0;-4.544841 34.7964 0.0;-4.544913 34.79641 0.0;-4.545014 34.7964 0.0;-4.545014 34.7964 0.0;
2097,-4.576894 35.06876 0.0;-4.576391 35.06834 0.0;-4.576776 35.06783 0.0;-4.577279 35.06793 0.0;-4.577813 35.06823 0.0;-4.577838 35.06822 0.0;-4.577206 35.06905 0.0;-4.576894 35.06876 0.0;
2098,-4.767148 35.12398 0.0;-4.76656 35.12396 0.0;-4.766572 35.12391 0.0;-4.765939 35.12362 0.0;-4.766328 35.12284 0.0;-4.766548 35.12301 0.0;-4.766518 35.12303 0.0;-4.766815 35.12319 0.0;-4.766795 35.12349 0.0;-4.767147 35.12391 0.0;-4.767149 35.12397 0.0;-4.767148 35.12398 0.0;
2099,-4.670189 35.18359 0.0;-4.670361 35.18388 0.0;-4.670334 35.18388 0.0;-4.670308 35.18408 0.0;-4.670282 35.18405 0.0;-4.670179 35.18413 0.0;-4.670029 35.18398 0.0;-4.670189 35.18359 0.0;-4.670189 35.18359 0.0;
2100,-4.727346 35.1719 0.0;-4.727969 35.17236 0.0;-4.728699 35.17192 0.0;-4.728627 35.17168 0.0;-4.728036 35.17108 0.0;-4.727345 35.17093 0.0;-4.726786 35.17139 0.0;-4.72737 35.17188 0.0;-4.727346 35.1719 0.0;-4.727346 35.1719 0.0;
2101,-4.892626 35.27893 0.0;-4.892485 35.2791 0.0;-4.892477 35.27912 0.0;-4.892425 35.27918 0.0;-4.892412 35.2792 0.0;-4.892352 35.27925 0.0;-4.892095 35.27898 0.0;-4.89232 35.27876 0.0;-4.892477 35.27892 0.0;-4.892522 35.27892 0.0;-4.892626 35.27893 0.0;-4.892626 35.27893 0.0;-4.892626 35.27893 0.0;
2102,-4.947 35.3929 0.0;-4.94699 35.39278 0.0;-4.947203 35.39281 0.0;-4.947227 35.39294 0.0;-4.947 35.3929 0.0;-4.947 35.3929 0.0;
2103,-4.956249 35.43766 0.0;-4.956324 35.43722 0.0;-4.956262 35.43722 0.0;-4.956223 35.43706 0.0;-4.955454 35.43701 0.0;-4.955394 35.43755 0.0;-4.955394 35.43755 0.0;-4.955394 35.43755 0.0;-4.955394 35.43755 0.0;-4.955394 35.43755 0.0;-4.955394 35.43755 0.0;-4.955443 35.4377 0.0;-4.956249 35.43766 0.0;
2104,-4.897111 35.44152 0.0;-4.897109 35.44203 0.0;-4.896861 35.44214 0.0;-4.896614 35.44217 0.0;-4.896425 35.44219 0.0;-4.896426 35.44219 0.0;-4.896484 35.44201 0.0;-4.896537 35.44199 0.0;-4.896573 35.44163 0.0;-4.897111 35.44152 0.0;-4.897111 35.44152 0.0;
2105,-5.02744 35.33769 0.0;-5.026762 35.33781 0.0;-5.027011 35.33837 0.0;-5.027189 35.33841 0.0;-5.02744 35.33769 0.0;
2106,-5.040413 35.40023 0.0;-5.040363 35.40019 0.0;-5.04031 35.40019 0.0;-5.039897 35.39978 0.0;-5.039848 35.39936 0.0;-5.039785 35.3993 0.0;-5.039966 35.3991 0.0;-5.040472 35.39968 0.0;-5.040802 35.39949 0.0;-5.040979 35.39981 0.0;-5.040413 35.40023 0.0;
2107,-4.404713 35.17189 0.0;-4.404901 35.17202 0.0;-4.405181 35.17188 0.0;-4.405283 35.17207 0.0;-4.405318 35.17213 0.0;-4.405487 35.17217 0.0;-4.405546 35.17226 0.0;-4.405587 35.17259 0.0;-4.405665 35.17291 0.0;-4.405651 35.173 0.0;-4.405303 35.17297 0.0;-4.404952 35.17298 0.0;-4.404725 35.17268 0.0;-4.404706 35.1722 0.0;-4.404762 35.17189 0.0;-4.404762 35.17188 0.0;-4.404713 35.17189 0.0;-4.404713 35.17189 0.0;
2108,-4.397553 35.1546 0.0;-4.397465 35.15411 0.0;-4.397351 35.15406 0.0;-4.3973 35.15448 0.0;-4.396624 35.15443 0.0;-4.396673 35.15404 0.0;-4.395678 35.15401 0.0;-4.395555 35.15416 0.0;-4.395721 35.15431 0.0;-4.395791 35.15441 0.0;-4.397031 35.15467 0.0;-4.397036 35.1546 0.0;-4.397051 35.15459 0.0;-4.397053 35.15458 0.0;-4.397564 35.15461 0.0;-4.397553 35.1546 0.0;
2109,-4.442896 35.43648 0.0;-4.442898 35.43636 0.0;-4.442393 35.43635 0.0;-4.441782 35.43624 0.0;-4.44168 35.43635 0.0;-4.441915 35.43688 0.0;-4.442011 35.43752 0.0;-4.442016 35.43771 0.0;-4.442103 35.43776 0.0;-4.442388 35.4378 0.0;-4.443025 35.4378 0.0;-4.443096 35.43781 0.0;-4.44309 35.4377 0.0;-4.443078 35.43756 0.0;-4.443057 35.43737 0.0;-4.442976 35.43728 0.0;-4.442971 35.43722 0.0;-4.442929 35.43691 0.0;-4.442956 35.43663 0.0;-4.442953 35.43658 0.0;-4.442937 35.43655 0.0;-4.442896 35.43648 0.0;
2110,-4.438182 35.32443 0.0;-4.438767 35.32518 0.0;-4.439378 35.32448 0.0;-4.438999 35.32421 0.0;-4.438539 35.32417 0.0;-4.438182 35.32443 0.0;-4.438182 35.32443 0.0;
2111,-4.119168 35.42386 0.0;-4.120146 35.42411 0.0;-4.119994 35.42484 0.0;-4.11911 35.42464 0.0;-4.119071 35.42463 0.0;-4.11898 35.42461 0.0;-4.119139 35.42387 0.0;-4.119168 35.42386 0.0;-4.119168 35.42386 0.0;
2112,-4.446308 35.25266 0.0;-4.446527 35.25272 0.0;-4.447666 35.25291 0.0;-4.447546 35.25383 0.0;-4.447545 35.25384 0.0;-4.446408 35.25355 0.0;-4.446338 35.25284 0.0;-4.446292 35.25269 0.0;-4.446308 35.25266 0.0;
2113,-4.516861 35.18217 0.0;-4.517349 35.1824 0.0;-4.517549 35.18213 0.0;-4.517599 35.18171 0.0;-4.517254 35.1814 0.0;-4.516861 35.18217 0.0;
2114,-4.135423 35.39085 0.0;-4.134847 35.39082 0.0;-4.134809 35.3916 0.0;-4.13579 35.39156 0.0;-4.135628 35.39083 0.0;-4.135423 35.39085 0.0;-4.135423 35.39085 0.0;
2115,-4.291842 35.3304 0.0;-4.291978 35.33068 0.0;-4.292008 35.33069 0.0;-4.292085 35.33076 0.0;-4.291971 35.33088 0.0;-4.291968 35.33091 0.0;-4.291982 35.33092 0.0;-4.291722 35.33105 0.0;-4.29167 35.33102 0.0;-4.291471 35.33108 0.0;-4.291448 35.33115 0.0;-4.291351 35.33123 0.0;-4.29129 35.33115 0.0;-4.291245 35.33113 0.0;-4.290812 35.33034 0.0;-4.29089 35.33024 0.0;-4.290923 35.33025 0.0;-4.291144 35.33019 0.0;-4.291165 35.33013 0.0;-4.291555 35.32989 0.0;-4.291721 35.33006 0.0;-4.291729 35.33009 0.0;-4.291861 35.33036 0.0;-4.291842 35.3304 0.0;-4.291842 35.3304 0.0;
2116,-4.376625 35.25265 0.0;-4.37632 35.25351 0.0;-4.376829 35.25377 0.0;-4.376973 35.25376 0.0;-4.37723 35.25291 0.0;-4.376649 35.25265 0.0;-4.376625 35.25265 0.0;
2117,-4.223175 35.41321 0.0;-4.224842 35.41327 0.0;-4.224834 35.41398 0.0;-4.223161 35.41386 0.0;-4.223175 35.41321 0.0;-4.223175 35.41321 0.0;
2118,-4.60436 35.27863 0.0;-4.60487 35.27861 0.0;-4.604955 35.27784 0.0;-4.604472 35.27781 0.0;-4.60436 35.27863 0.0;-4.60436 35.27863 0.0;-4.60436 35.27863 0.0;-4.60436 35.27863 0.0;
2119,-4.630276 35.36635 0.0;-4.630081 35.36652 0.0;-4.629909 35.3667 0.0;-4.629848 35.36676 0.0;-4.629465 35.36632 0.0;-4.629403 35.36627 0.0;-4.629906 35.36569 0.0;-4.629914 35.36569 0.0;-4.630254 35.36603 0.0;-4.630148 35.36624 0.0;-4.630207 35.3663 0.0;-4.630276 35.36635 0.0;
2120,-4.618391 35.38343 0.0;-4.618395 35.38324 0.0;-4.617733 35.38303 0.0;-4.617671 35.38323 0.0;-4.618391 35.38343 0.0;-4.618391 35.38343 0.0;-4.618391 35.38343 0.0;
2121,-4.576128 35.30145 0.0;-4.575935 35.30188 0.0;-4.57562 35.30201 0.0;-4.575086 35.30178 0.0;-4.575344 35.30121 0.0;-4.576094 35.30146 0.0;-4.576128 35.30145 0.0;
2122,-4.795391 35.40986 0.0;-4.795796 35.40924 0.0;-4.795136 35.40872 0.0;-4.794676 35.4094 0.0;-4.795391 35.40986 0.0;
2123,-4.754902 35.38902 0.0;-4.754898 35.38951 0.0;-4.755569 35.38964 0.0;-4.755581 35.38961 0.0;-4.755659 35.38963 0.0;-4.755738 35.3894 0.0;-4.755877 35.38938 0.0;-4.755907 35.3892 0.0;-4.755751 35.38914 0.0;-4.755733 35.38918 0.0;-4.754902 35.38902 0.0;-4.754902 35.38902 0.0;-4.754902 35.38902 0.0;
2124,-4.748445 35.27761 0.0;-4.748273 35.27748 0.0;-4.748488 35.2772 0.0;-4.748669 35.277 0.0;-4.749144 35.27729 0.0;-4.749344 35.27744 0.0;-4.749524 35.27756 0.0;-4.749226 35.27778 0.0;-4.749133 35.27787 0.0;-4.748974 35.27794 0.0;-4.748849 35.27797 0.0;-4.748769 35.27785 0.0;-4.748513 35.27764 0.0;-4.748445 35.27761 0.0;
2125,-4.540723 35.2412 0.0;-4.540736 35.24142 0.0;-4.540232 35.24154 0.0;-4.54023 35.24159 0.0;-4.539594 35.2418 0.0;-4.539444 35.24145 0.0;-4.540272 35.24118 0.0;-4.540723 35.2412 0.0;-4.540723 35.2412 0.0;
2126,-4.635243 35.47062 0.0;-4.635488 35.47016 0.0;-4.635519 35.47015 0.0;-4.635548 35.47071 0.0;-4.635557 35.47089 0.0;-4.635567 35.47099 0.0;-4.635569 35.47109 0.0;-4.635586 35.47134 0.0;-4.635628 35.47171 0.0;-4.635203 35.47185 0.0;-4.635184 35.47173 0.0;-4.634762 35.47168 0.0;-4.635243 35.47062 0.0;-4.635243 35.47062 0.0;
2127,-5.273923 35.48899 0.0;-5.274346 35.48875 0.0;-5.274631 35.48924 0.0;-5.27408 35.48964 0.0;-5.273814 35.48923 0.0;-5.273949 35.48913 0.0;-5.273896 35.48902 0.0;-5.273923 35.48899 0.0;-5.273923 35.48899 0.0;
2128,-5.119346 35.54847 0.0;-5.11921 35.5482 0.0;-5.119638 35.54803 0.0;-5.11968 35.54825 0.0;-5.119346 35.54847 0.0;-5.119346 35.54847 0.0;
2129,-5.19625 35.58914 0.0;-5.19629 35.58863 0.0;-5.196854 35.58872 0.0;-5.196779 35.58916 0.0;-5.19625 35.58914 0.0;-5.19625 35.58914 0.0;
2130,-5.134227 35.51011 0.0;-5.134201 35.51015 0.0;-5.134039 35.51022 0.0;-5.133922 35.51003 0.0;-5.13393 35.50994 0.0;-5.133895 35.5099 0.0;-5.133864 35.50988 0.0;-5.13386 35.50983 0.0;-5.133875 35.50978 0.0;-5.133928 35.50979 0.0;-5.133988 35.50978 0.0;-5.134063 35.5098 0.0;-5.134107 35.50988 0.0;-5.134094 35.50993 0.0;-5.134086 35.50997 0.0;-5.134087 35.50997 0.0;-5.134111 35.51004 0.0;-5.134139 35.51004 0.0;-5.134161 35.51007 0.0;-5.134227 35.51011 0.0;-5.134227 35.51011 0.0;
2131,-5.101462 35.53875 0.0;-5.101529 35.53868 0.0;-5.101362 35.53845 0.0;-5.101012 35.53868 0.0;-5.10103 35.53875 0.0;-5.101168 35.53869 0.0;-5.101181 35.53866 0.0;-5.10125 35.53855 0.0;-5.101428 35.5387 0.0;-5.101462 35.53875 0.0;-5.101462 35.53875 0.0;
2132,-5.166564 35.43042 0.0;-5.166849 35.43053 0.0;-5.166826 35.43077 0.0;-5.166474 35.43085 0.0;-5.166428 35.43075 0.0;-5.166548 35.4306 0.0;-5.166615 35.43044 0.0;-5.166564 35.43042 0.0;-5.166564 35.43042 0.0;
2133,-4.961606 35.12167 0.0;-4.961606 35.12167 0.0;-4.961606 35.12167 0.0;-4.961606 35.1216 0.0;-4.961644 35.12163 0.0;-4.961606 35.12167 0.0;-4.961606 35.12167 0.0;
2134,-5.161452 35.22628 0.0;-5.161436 35.22757 0.0;-5.161286 35.22757 0.0;-5.161205 35.22773 0.0;-5.161043 35.22775 0.0;-5.160998 35.22662 0.0;-5.161452 35.22628 0.0;-5.161452 35.22628 0.0;
2135,-5.305566 35.05244 0.0;-5.305374 35.05228 0.0;-5.305391 35.05223 0.0;-5.305342 35.05213 0.0;-5.304766 35.05268 0.0;-5.305422 35.05355 0.0;-5.30548 35.05351 0.0;-5.305565 35.05351 0.0;-5.306181 35.05292 0.0;-5.306044 35.05278 0.0;-5.30603 35.05277 0.0;-5.305596 35.05243 0.0;-5.305566 35.05244 0.0;-5.305566 35.05244 0.0;
2136,-5.277174 35.00722 0.0;-5.276874 35.00715 0.0;-5.276849 35.00704 0.0;-5.276618 35.00689 0.0;-5.276885 35.0067 0.0;-5.276892 35.00671 0.0;-5.276891 35.00671 0.0;-5.277606 35.00601 0.0;-5.277582 35.00597 0.0;-5.277579 35.00586 0.0;-5.277903 35.00604 0.0;-5.277635 35.00631 0.0;-5.277174 35.00722 0.0;-5.277174 35.00722 0.0;
2137,-4.983927 35.22556 0.0;-4.98401 35.22579 0.0;-4.984011 35.2258 0.0;-4.984012 35.2258 0.0;-4.984101 35.22616 0.0;-4.984101 35.22616 0.0;-4.984104 35.22617 0.0;-4.984105 35.22617 0.0;-4.984106 35.22618 0.0;-4.984496 35.22618 0.0;-4.984502 35.22618 0.0;-4.984511 35.22618 0.0;-4.985288 35.226 0.0;-4.985288 35.226 0.0;-4.985573 35.22583 0.0;-4.985571 35.22583 0.0;-4.985571 35.22583 0.0;-4.98557 35.22583 0.0;-4.98557 35.22583 0.0;-4.985569 35.22583 0.0;-4.985569 35.22583 0.0;-4.985569 35.22582 0.0;-4.985019 35.22497 0.0;-4.985019 35.22497 0.0;-4.984977 35.22486 0.0;-4.984973 35.22485 0.0;-4.984973 35.22485 0.0;-4.984973 35.22485 0.0;-4.983927 35.22556 0.0;-4.983927 35.22556 0.0;
2138,-5.028911 35.02464 0.0;-5.02862 35.02483 0.0;-5.028473 35.0249 0.0;-5.028246 35.02462 0.0;-5.028635 35.02429 0.0;-5.028911 35.02464 0.0;
2139,-4.962031 35.01655 0.0;-4.962055 35.01679 0.0;-4.961648 35.01683 0.0;-4.961627 35.01661 0.0;-4.962031 35.01655 0.0;
